Id,sasa,eig_wt_final_sym,modularity_class
978,5.552716,0.000697,0
819,5.878192,0.000691,0
864,5.220367,0.000686,0
1118,6.391976,0.000682,4
841,5.499879,0.000681,4
892,5.592257,0.000681,0
135,6.021801,0.00068,4
695,5.799458,0.000676,4
1114,5.603838,0.00067,1
1177,5.073899,0.000666,0
867,5.886895,0.000653,4
954,5.43104,0.00064,1
1064,5.95184,0.000638,0
1169,6.21324,0.000633,1
241,6.05415,0.000631,0
529,5.849108,0.000625,0
546,6.05834,0.000624,1
812,6.013488,0.000621,3
72,6.157996,0.00062,1
267,6.128347,0.000608,1
1153,5.64186,0.000606,1
69,6.021306,0.000599,1
520,5.658441,0.000595,0
594,5.238917,0.000584,0
974,6.22995,0.000581,0
97,5.848651,0.00058,3
663,5.409587,0.000576,0
11,5.901741,0.000575,2
541,5.234269,0.000574,0
914,5.77073,0.000557,3
169,6.129523,0.000557,0
136,6.239189,0.000554,0
610,5.3703,0.000553,0
235,6.124062,0.000551,1
855,6.018379,0.000549,1
247,6.235011,0.000546,0
1196,5.345358,0.000545,1
650,5.013535,0.000544,0
694,5.648647,0.000541,1
803,6.106204,0.000539,1
217,5.716786,0.000538,2
246,6.139052,0.000537,1
968,5.832111,0.000537,0
924,6.213432,0.00053,1
1188,5.580543,0.000526,1
1185,5.718063,0.000524,1
1042,6.082103,0.000522,0
976,5.558719,0.000519,1
675,6.267998,0.000519,4
1033,6.078829,0.000517,3
448,5.158358,0.000517,0
1032,5.869869,0.000514,0
687,5.579125,0.000513,1
1087,5.883763,0.000501,0
155,5.52383,0.000501,1
847,6.061884,0.000501,4
1019,5.966242,0.0005,0
684,5.935672,0.000499,3
673,5.895187,0.000498,1
940,6.100241,0.000497,3
898,6.222563,0.000496,0
117,6.135616,0.000493,0
829,6.067475,0.000493,1
413,5.988814,0.000485,1
198,5.51701,0.000476,2
394,5.702558,0.000463,1
150,5.852562,0.000463,2
555,6.046633,0.000462,1
373,6.075894,0.000457,4
1012,6.059413,0.00045,0
919,5.91082,0.000446,3
104,6.132734,0.000438,4
19,5.510402,0.000438,0
980,5.642074,0.000435,0
143,6.184493,0.000429,1
284,5.533077,0.000426,0
578,6.264758,0.000426,4
616,6.095379,0.000421,3
996,5.512228,0.000417,1
926,5.488319,0.000411,1
245,6.256449,0.000409,4
821,6.040603,0.000408,0
825,5.539582,0.000406,0
1179,5.996415,0.000404,3
77,5.775725,0.000402,1
1139,6.056568,0.000401,1
452,5.856467,0.000401,2
222,5.481282,0.000391,2
796,5.922909,0.00039,4
214,5.578493,0.00039,1
573,5.458299,0.000389,0
797,6.087834,0.000386,1
771,6.108024,0.000385,0
1146,5.545037,0.000383,2
915,4.75959,0.000382,0
283,5.795999,0.00038,0
782,6.10714,0.000378,1
1098,5.288895,0.000377,0
85,6.227888,0.00037,4
